Latitude,temperature_2m_min,pressure_msl,wind_direction_10m_dominant,Longitude,precipitation_probability_max,temperature_2m_max,TP
5.25,21.7,1010.6708333333332,263,68.875,80,29.6,9.325235919614322
5.25,21.7,1010.6666666666666,273,69.125,100,28.9,9.325235919614322
5.25,22.2,1010.6541666666668,279,69.375,99,24.7,9.325235919614322
5.25,21.0,1010.6333333333332,297,69.625,94,23.7,9.325235919614322
5.25,21.5,1010.6041666666666,290,69.875,59,29.0,9.325235919614322
5.25,21.8,1010.5875,262,70.125,84,28.4,9.325235919614322
5.25,23.3,1010.5916666666668,264,70.375,88,31.0,9.325235919614322
5.25,23.4,1010.5666666666666,275,70.625,100,31.2,9.325235919614322
5.25,23.8,1010.5375,281,70.875,100,26.5,9.325235919614322
5.25,22.3,1010.5375,297,71.125,97,25.2,9.325235919614322
5.25,23.0,1010.525,292,71.375,42,30.9,9.325235919614322
5.25,23.3,1010.4916666666668,262,71.625,84,30.5,9.325235919614322
5.25,23.5,1010.4583333333334,265,71.875,90,32.1,9.325235919614322
5.25,23.6,1010.4708333333332,281,72.125,100,30.9,9.325235919614322
5.25,23.1,1010.4583333333334,287,72.375,100,26.0,9.325235919614322
5.25,22.1,1010.4416666666666,297,72.625,99,24.4,9.325235919614322
5.25,22.3,1010.4083333333332,297,72.875,45,30.7,9.325235919614322
5.25,23.6,1010.4166666666666,261,73.125,87,30.9,9.325235919614322
5.25,23.6,1010.4416666666666,267,73.375,94,32.8,9.325235919614322
5.25,24.0,1010.4416666666666,284,73.625,100,30.7,9.325235919614322
5.25,23.0,1010.4166666666666,290,73.875,100,26.5,9.325235919614322
5.25,22.0,1010.4166666666666,296,74.125,100,24.0,9.325235919614322
5.25,22.3,1010.3958333333334,299,74.375,39,30.6,9.325235919614322
5.25,23.8,1010.3791666666666,262,74.625,94,31.1,9.325235919614322
5.25,23.4,1010.35,269,74.875,90,32.9,9.325235919614322
5.25,24.1,1010.3416666666668,285,75.125,100,30.3,9.325235919614322
5.25,22.5,1010.3375,291,75.375,100,27.1,9.325235919614322
5.25,21.7,1010.3041666666668,292,75.625,100,24.0,9.325235919614322
5.25,22.1,1010.2666666666668,299,75.875,39,29.8,9.325235919614322
5.25,23.6,1010.275,264,76.125,100,30.7,9.325235919614322
5.25,23.7,1010.2541666666666,272,76.375,48,33.7,9.325235919614322
5.25,24.4,1010.1916666666666,290,76.625,97,30.5,9.325235919614322
5.25,22.2,1010.175,292,76.875,100,26.3,9.325235919614322
5.25,21.7,1010.1375,290,77.125,100,23.4,9.325235919614322
5.25,21.6,1010.0625,300,77.375,42,29.3,9.325235919614322
5.25,23.7,1010.0208333333334,268,77.625,100,30.6,9.325235919614322
5.25,24.0,1009.95,277,77.875,29,33.9,9.325235919614322
5.25,24.6,1009.9083333333332,292,78.125,100,28.9,9.325235919614322
5.25,22.3,1009.875,291,78.375,100,25.7,9.325235919614322
5.25,21.7,1009.8416666666668,288,78.625,100,23.1,9.325235919614322
5.25,21.4,1009.8125,298,78.875,45,29.3,9.325235919614322
5.25,23.7,1009.7583333333332,271,79.125,98,31.0,9.325235919614322
5.25,24.5,1009.7166666666668,283,79.375,26,33.7,9.325235919614322
5.25,24.5,1009.6666666666666,293,79.625,100,28.9,9.325235919614322
5.25,22.5,1009.6166666666668,287,79.875,100,25.7,9.325235919614322
5.25,21.8,1009.5958333333332,286,80.125,100,23.3,9.325235919614322
5.25,21.8,1009.5541666666668,298,80.375,61,29.2,9.325235919614322
5.25,24.0,1009.5,272,80.625,100,31.3,9.325235919614322
