Latitude,temperature_2m_min,pressure_msl,wind_direction_10m_dominant,Longitude,precipitation_probability_max,temperature_2m_max,TP
5.25,28.4,1010.8,217,68.875,81,29.0,9.332389918727108
5.25,28.5,1010.7833333333332,198,69.125,100,29.0,9.332389918727108
5.25,28.0,1010.775,219,69.375,100,29.0,9.332389918727108
5.25,27.6,1010.7666666666668,265,69.625,100,29.0,9.332389918727108
5.25,27.6,1010.775,279,69.875,100,28.8,9.332389918727108
5.25,27.6,1010.7541666666666,276,70.125,100,28.5,9.332389918727108
5.25,28.1,1010.7708333333334,219,70.375,81,29.0,9.332389918727108
5.25,28.5,1010.7708333333334,198,70.625,100,29.0,9.332389918727108
5.25,28.0,1010.8,222,70.875,100,29.1,9.332389918727108
5.25,28.1,1010.8208333333332,265,71.125,100,29.0,9.332389918727108
5.25,27.6,1010.8125,279,71.375,100,28.8,9.332389918727108
5.25,27.8,1010.8,276,71.625,100,28.6,9.332389918727108
5.25,28.4,1010.7833333333332,222,71.875,73,29.0,9.332389918727108
5.25,28.6,1010.8208333333332,202,72.125,100,29.1,9.332389918727108
5.25,28.0,1010.8333333333334,227,72.375,100,29.1,9.332389918727108
5.25,28.0,1010.825,268,72.625,100,29.1,9.332389918727108
5.25,28.0,1010.8125,280,72.875,100,28.9,9.332389918727108
5.25,28.0,1010.8208333333332,276,73.125,100,28.5,9.332389918727108
5.25,28.4,1010.8,223,73.375,73,29.1,9.332389918727108
5.25,28.6,1010.7875,202,73.625,100,29.1,9.332389918727108
5.25,28.0,1010.8166666666666,228,73.875,100,29.1,9.332389918727108
5.25,27.8,1010.8291666666668,270,74.125,100,29.1,9.332389918727108
5.25,28.0,1010.8083333333334,280,74.375,100,29.0,9.332389918727108
5.25,27.9,1010.8125,275,74.625,99,28.5,9.332389918727108
5.25,28.4,1010.8208333333332,223,74.875,63,29.1,9.332389918727108
5.25,28.6,1010.8166666666666,203,75.125,100,29.2,9.332389918727108
5.25,28.0,1010.8208333333332,230,75.375,100,29.2,9.332389918727108
5.25,28.0,1010.8166666666666,271,75.625,100,29.1,9.332389918727108
5.25,28.0,1010.8083333333334,280,75.875,100,28.9,9.332389918727108
5.25,27.6,1010.7958333333332,273,76.125,100,28.8,9.332389918727108
5.25,28.4,1010.7916666666666,223,76.375,71,29.1,9.332389918727108
5.25,28.2,1010.7916666666666,203,76.625,100,29.4,9.332389918727108
5.25,28.1,1010.7625,231,76.875,100,29.2,9.332389918727108
5.25,28.0,1010.7416666666668,271,77.125,100,29.1,9.332389918727108
5.25,28.0,1010.7291666666666,280,77.375,100,29.0,9.332389918727108
5.25,27.9,1010.7,272,77.625,100,28.8,9.332389918727108
5.25,28.4,1010.675,223,77.875,84,29.0,9.332389918727108
5.25,28.4,1010.675,204,78.125,100,29.4,9.332389918727108
5.25,28.0,1010.6416666666668,233,78.375,100,29.1,9.332389918727108
5.25,28.0,1010.6166666666668,272,78.625,95,29.1,9.332389918727108
5.25,27.9,1010.6083333333332,280,78.875,100,29.0,9.332389918727108
5.25,28.0,1010.6,272,79.125,100,28.8,9.332389918727108
5.25,28.1,1010.5791666666668,225,79.375,90,28.9,9.332389918727108
5.25,28.5,1010.5583333333334,205,79.625,97,29.2,9.332389918727108
5.25,28.1,1010.4958333333334,235,79.875,100,29.1,9.332389918727108
5.25,28.0,1010.4541666666668,274,80.125,92,29.1,9.332389918727108
5.25,28.0,1010.425,280,80.375,100,29.0,9.332389918727108
5.25,27.8,1010.4041666666668,271,80.625,100,28.9,9.332389918727108
5.25,28.0,1010.3708333333334,226,80.875,90,28.9,9.332389918727108
