longitude,latitude,wind_direction_10m_dominant
88.625,6.0,263
80.125,6.125,289
80.25,6.125,263
80.875,6.125,269
68.875,6.25,258
69.125,6.25,251
69.375,6.25,262
69.625,6.25,283
69.875,6.25,260
70.125,6.25,266
70.375,6.25,256
70.625,6.25,248
70.875,6.25,260
71.125,6.25,276
71.375,6.25,256
71.625,6.25,262
71.875,6.25,253
72.125,6.25,246
72.375,6.25,257
72.625,6.25,270
72.875,6.25,254
73.125,6.25,260
73.375,6.25,251
73.625,6.25,244
73.875,6.25,256
74.125,6.25,258
74.375,6.25,252
74.625,6.25,257
74.875,6.25,250
75.125,6.25,241
75.375,6.25,254
75.625,6.25,247
75.875,6.25,248
76.125,6.25,254
76.375,6.25,247
76.625,6.25,238
76.875,6.25,250
77.125,6.25,240
77.375,6.25,246
77.625,6.25,251
77.875,6.25,246
78.125,6.25,237
78.375,6.25,249
78.625,6.25,230
78.875,6.25,243
79.125,6.25,248
79.375,6.25,244
79.625,6.25,234
80.125,6.25,247
80.625,6.25,224
80.875,6.25,240
81.125,6.25,244
81.375,6.25,241
81.625,6.25,232
81.875,6.25,246
82.125,6.25,221
82.375,6.25,238
82.625,6.25,241
82.875,6.25,239
83.125,6.25,231
83.375,6.25,245
83.625,6.25,214
83.875,6.25,236
84.125,6.25,237
84.375,6.25,237
84.625,6.25,228
84.875,6.25,242
85.125,6.25,211
85.375,6.25,234
85.625,6.25,233
85.875,6.25,234
86.125,6.25,227
86.375,6.25,242
86.625,6.25,205
86.875,6.25,231
87.125,6.25,229
87.375,6.25,232
87.625,6.25,224
87.875,6.25,240
88.125,6.25,203
88.375,6.25,230
88.625,6.25,226
80.0,6.375,230
68.875,6.5,223
69.125,6.5,239
69.375,6.5,202
69.625,6.5,229
69.875,6.5,223
70.125,6.5,229
70.375,6.5,221
70.625,6.5,239
70.875,6.5,195
71.125,6.5,225
71.375,6.5,215
71.625,6.5,224
71.875,6.5,215
72.125,6.5,236
72.375,6.5,194
72.625,6.5,223
72.875,6.5,212
73.125,6.5,220
73.375,6.5,213
73.625,6.5,236
73.875,6.5,191
74.125,6.5,221
74.375,6.5,206
74.625,6.5,216
74.875,6.5,210
75.125,6.5,234
