Latitude,temperature_2m_min,pressure_msl,wind_direction_10m_dominant,Longitude,precipitation_probability_max,temperature_2m_max,TP
5.25,26.8,1010.0458333333332,255,68.875,100,27.5,9.956565069059941
5.25,26.5,1010.025,265,69.125,100,27.8,9.956565069059941
5.25,27.0,1010.0166666666668,284,69.375,100,27.8,9.956565069059941
5.25,26.5,1010.0083333333332,296,69.625,100,27.5,9.956565069059941
5.25,26.6,1010.0208333333334,286,69.875,99,27.0,9.956565069059941
5.25,26.5,1009.9916666666668,272,70.125,100,27.8,9.956565069059941
5.25,26.8,1010.0,255,70.375,100,27.5,9.956565069059941
5.25,26.8,1010.0,266,70.625,100,27.6,9.956565069059941
5.25,27.0,1010.0083333333332,284,70.875,100,27.5,9.956565069059941
5.25,26.8,1009.9708333333332,296,71.125,100,27.5,9.956565069059941
5.25,26.5,1009.9791666666666,285,71.375,98,27.1,9.956565069059941
5.25,26.4,1010.0333333333332,272,71.625,97,27.6,9.956565069059941
5.25,26.6,1010.0166666666668,256,71.875,100,27.5,9.956565069059941
5.25,27.0,1010.0,267,72.125,100,27.6,9.956565069059941
5.25,27.1,1010.0041666666666,286,72.375,100,27.5,9.956565069059941
5.25,26.9,1010.0208333333334,297,72.625,100,27.5,9.956565069059941
5.25,26.8,1009.9958333333334,285,72.875,100,27.2,9.956565069059941
5.25,26.5,1009.9916666666668,274,73.125,91,27.5,9.956565069059941
5.25,27.1,1010.0083333333332,257,73.375,100,27.6,9.956565069059941
5.25,27.0,1010.0125,268,73.625,100,27.6,9.956565069059941
5.25,27.0,1010.0208333333334,288,73.875,100,27.6,9.956565069059941
5.25,27.1,1009.9833333333332,298,74.125,100,27.5,9.956565069059941
5.25,27.0,1009.9916666666668,286,74.375,98,27.5,9.956565069059941
5.25,26.5,1009.975,276,74.625,86,27.6,9.956565069059941
5.25,26.9,1009.9625,259,74.875,100,27.9,9.956565069059941
5.25,27.0,1009.9583333333334,270,75.125,100,27.8,9.956565069059941
5.25,27.0,1009.9083333333332,290,75.375,100,27.6,9.956565069059941
5.25,27.0,1009.9083333333332,299,75.625,100,27.6,9.956565069059941
5.25,27.0,1009.9041666666668,287,75.875,100,27.5,9.956565069059941
5.25,26.8,1009.8791666666666,276,76.125,71,27.8,9.956565069059941
5.25,27.3,1009.8541666666666,260,76.375,100,27.9,9.956565069059941
5.25,26.9,1009.8583333333332,271,76.625,100,27.9,9.956565069059941
5.25,27.0,1009.8291666666668,291,76.875,100,27.8,9.956565069059941
5.25,27.2,1009.8041666666668,300,77.125,100,27.8,9.956565069059941
5.25,27.4,1009.7875,288,77.375,100,27.8,9.956565069059941
5.25,27.0,1009.7833333333332,277,77.625,77,27.8,9.956565069059941
5.25,27.1,1009.7666666666668,260,77.875,100,27.9,9.956565069059941
5.25,27.0,1009.7666666666668,272,78.125,100,27.9,9.956565069059941
5.25,27.1,1009.7625,292,78.375,100,27.6,9.956565069059941
5.25,27.1,1009.7333333333332,301,78.625,100,27.8,9.956565069059941
5.25,27.2,1009.725,289,78.875,100,27.6,9.956565069059941
5.25,27.0,1009.7208333333332,278,79.125,81,27.6,9.956565069059941
5.25,27.1,1009.7,262,79.375,100,27.6,9.956565069059941
5.25,27.0,1009.6958333333332,274,79.625,100,27.8,9.956565069059941
5.25,27.0,1009.6833333333334,293,79.875,100,27.6,9.956565069059941
5.25,27.0,1009.6458333333334,302,80.125,100,27.8,9.956565069059941
5.25,27.2,1009.6083333333332,289,80.375,100,27.9,9.956565069059941
5.25,27.1,1009.5958333333332,278,80.625,90,27.6,9.956565069059941
5.25,27.0,1009.5583333333334,263,80.875,100,27.5,9.956565069059941
5.25,27.0,1009.5208333333334,275,81.125,100,27.5,9.956565069059941
5.25,27.0,1009.5,294,81.375,100,27.5,9.956565069059941
5.25,27.0,1009.4791666666666,303,81.625,100,27.8,9.956565069059941
5.25,27.1,1009.4541666666668,289,81.875,99,27.9,9.956565069059941
5.25,27.1,1009.4083333333332,279,82.125,90,27.6,9.956565069059941
5.25,26.9,1009.4,265,82.375,100,27.5,9.956565069059941
5.25,26.9,1009.3833333333332,276,82.625,100,27.5,9.956565069059941
5.25,27.0,1009.375,296,82.875,100,27.6,9.956565069059941
5.25,26.9,1009.3625,306,83.125,100,27.6,9.956565069059941
5.25,27.0,1009.35,290,83.375,100,27.6,9.956565069059941
5.25,26.8,1009.3333333333334,280,83.625,100,27.5,9.956565069059941
5.25,26.9,1009.3208333333332,268,83.875,100,27.5,9.956565069059941
5.25,26.8,1009.3083333333334,280,84.125,100,27.5,9.956565069059941
5.25,26.9,1009.3083333333334,300,84.375,100,27.5,9.956565069059941
5.25,26.9,1009.2958333333332,310,84.625,100,27.4,9.956565069059941
5.25,26.9,1009.3208333333332,293,84.875,100,27.5,9.956565069059941
5.25,26.5,1009.2916666666666,286,85.125,100,27.2,9.956565069059941
5.25,26.8,1009.2875,271,85.375,100,27.4,9.956565069059941
5.25,26.6,1009.3,285,85.625,100,27.5,9.956565069059941
5.25,26.9,1009.3041666666668,305,85.875,100,27.4,9.956565069059941
5.25,26.5,1009.3166666666666,313,86.125,100,27.2,9.956565069059941
5.25,26.9,1009.3333333333334,297,86.375,100,27.5,9.956565069059941
5.25,26.2,1009.3458333333332,294,86.625,100,27.0,9.956565069059941
5.25,26.5,1009.3458333333332,277,86.875,100,27.2,9.956565069059941
5.25,26.5,1009.3833333333332,290,87.125,100,27.5,9.956565069059941
5.25,26.8,1009.4083333333332,309,87.375,100,27.4,9.956565069059941
5.25,26.5,1009.4125,316,87.625,100,27.1,9.956565069059941
5.25,26.5,1009.4,302,87.875,100,27.2,9.956565069059941
5.25,26.4,1009.4,302,88.125,100,27.0,9.956565069059941
5.25,26.4,1009.4,288,88.375,100,27.2,9.956565069059941
5.25,26.4,1009.4083333333332,295,88.625,100,27.5,9.956565069059941
5.5,26.5,1010.0166666666668,314,68.875,100,27.2,9.956565069059941
5.5,26.4,1010.0291666666668,316,69.125,100,27.0,14.099323811252944
5.5,26.4,1010.0125,305,69.375,100,27.1,13.566221177733242
5.5,26.2,1010.0083333333332,306,69.625,100,27.2,13.569324505320552
5.5,23.5,1010.0041666666666,298,69.875,100,28.2,14.108633794014873
5.5,23.4,1009.9833333333332,297,70.125,100,29.1,14.34690860381406
5.5,23.6,1009.9875,308,70.375,100,30.0,14.284148934718113
5.5,23.9,1009.9958333333334,311,70.625,100,28.1,14.28776803724261
5.5,24.0,1010.0041666666666,296,70.875,100,29.8,14.35776591138755
5.5,23.7,1009.9791666666666,298,71.125,100,29.3,14.375622560459323
5.5,22.6,1009.975,260,71.375,100,27.7,14.341337984457931
5.5,22.4,1009.9791666666666,243,71.625,100,27.9,14.346088660969285
5.5,22.9,1009.9958333333334,265,71.875,100,29.2,14.389874589993374
5.5,23.1,1009.9791666666666,266,72.125,100,27.7,14.345316694917884
5.5,23.2,1009.9833333333332,245,72.375,100,29.5,14.212414975742814
5.5,22.7,1010.0041666666666,255,72.625,100,28.3,14.214792309665174
5.5,22.4,1009.9958333333334,228,72.875,100,27.0,14.352448696684972
5.5,22.6,1009.9833333333332,232,73.125,100,27.9,12.93215277839904
5.5,22.9,1009.9875,234,73.375,100,28.2,9.95390455480738
5.5,23.0,1009.9708333333332,231,73.625,100,27.5,8.441387573600174
5.5,23.1,1009.9916666666668,225,73.875,100,28.1,8.394601834777424
5.5,22.6,1009.975,234,74.125,100,28.2,8.392726471796507
5.5,23.2,1009.9708333333332,244,74.375,100,28.2,8.435761484657426
5.5,23.5,1009.9708333333332,246,74.625,100,30.0,8.460546489639752
5.5,23.4,1009.9458333333332,243,74.875,100,29.2,8.467081486743481
5.5,24.1,1009.9291666666668,239,75.125,100,29.1,8.47421203511973
5.5,23.7,1009.8958333333334,246,75.375,100,30.2,8.481938134768498
5.5,23.7,1009.8958333333334,251,75.625,100,30.1,9.99637410954039
5.5,23.1,1009.875,257,75.875,54,28.6,13.017519959435404
5.5,23.1,1009.8583333333332,260,76.125,91,30.2,14.532512038598885
5.5,23.2,1009.8333333333334,257,76.375,62,30.2,14.54135034703082
5.5,24.3,1009.8208333333332,253,76.625,58,29.4,14.549644055306434
5.5,23.6,1009.7875,257,76.875,44,30.8,14.55739316342572
5.5,23.4,1009.7708333333334,261,77.125,0,30.6,14.538400830234767
5.5,24.5,1009.7416666666668,278,77.375,63,31.2,14.492667055733582
5.5,24.0,1009.7541666666666,281,77.625,91,32.9,14.510105330916575
5.5,24.8,1009.7333333333332,274,77.875,62,32.1,14.590715655783749
5.5,25.8,1009.7125,271,78.125,58,33.0,14.650496282779075
5.5,25.0,1009.7083333333334,279,78.375,44,33.7,14.689447211902564
5.5,25.0,1009.7083333333334,280,78.625,0,33.3,14.73789795019073
5.5,25.1,1009.6833333333334,284,78.875,63,31.9,14.795848497643576
5.5,25.0,1009.6875,286,79.125,91,33.7,14.867919131525335
5.5,25.6,1009.6833333333334,279,79.375,62,33.0,14.954109851836014
5.5,26.4,1009.675,283,79.625,58,33.8,15.060366868791943
5.5,25.5,1009.6541666666668,285,79.875,44,34.9,15.186690182393123
5.5,25.4,1009.6333333333332,284,80.125,0,34.2,15.299566818602162
5.5,25.6,1009.625,284,80.375,97,32.6,15.398996777419052
5.5,25.3,1009.6041666666666,286,80.625,100,34.4,15.471986577508314
5.5,26.3,1009.5666666666666,282,80.875,74,33.6,15.51853621886995
5.5,27.0,1009.525,287,81.125,71,34.5,15.558142130318563
5.5,26.1,1009.4708333333332,285,81.375,55,35.8,15.59080431185416
5.5,25.9,1009.4375,284,81.625,0,35.1,15.619202222184644
5.5,25.7,1009.3916666666668,285,81.875,63,33.2,15.64333586131002
5.5,25.4,1009.3583333333332,284,82.125,52,34.3,15.66435214823252
5.5,26.1,1009.3291666666668,286,82.375,15,33.9,15.682251082952138
5.5,27.1,1009.3,291,82.625,16,34.3,15.697558443908502
5.5,26.3,1009.2916666666666,288,82.875,29,36.0,15.710274231101607
5.5,25.8,1009.2708333333334,290,83.125,23,35.1,15.720822087534938
5.5,26.0,1009.2708333333334,285,83.375,94,33.5,15.72920201320849
5.5,25.8,1009.2583333333332,282,83.625,100,34.0,15.73606805066257
5.5,26.3,1009.2333333333332,285,83.875,68,34.7,15.741420199897188
5.5,26.7,1009.2416666666668,291,84.125,54,34.7,15.711694440075297
5.5,26.3,1009.2416666666668,289,84.375,19,36.4,15.646890771196892
5.5,26.1,1009.2416666666668,291,84.625,0,35.0,15.650481500225617
5.5,26.7,1009.2291666666666,288,84.875,42,34.6,9.956565069059941
5.5,26.4,1009.2333333333332,275,85.125,81,34.3,9.956565069059941
5.5,26.9,1009.2333333333332,288,85.375,19,35.8,9.956565069059941
5.5,26.7,1009.2416666666668,293,85.625,26,35.7,9.956565069059941
5.5,27.0,1009.2541666666666,292,85.875,90,37.1,9.956565069059941
5.5,26.8,1009.2666666666668,292,86.125,89,36.1,9.956565069059941
5.5,26.5,1009.3041666666668,272,86.375,48,34.9,9.956565069059941
5.5,26.6,1009.2958333333332,240,86.625,87,33.6,9.956565069059941
5.5,27.0,1009.3083333333334,282,86.875,47,36.8,9.956565069059941
5.5,27.4,1009.3541666666666,291,87.125,45,36.0,9.956565069059941
5.5,26.9,1009.3708333333334,273,87.375,100,36.8,9.956565069059941
5.5,27.0,1009.3708333333334,280,87.625,100,36.2,9.956565069059941
5.5,25.7,1009.3708333333334,256,87.875,81,34.9,9.956565069059941
5.5,26.7,1009.3833333333332,229,88.125,78,33.4,9.956565069059941
5.5,26.9,1009.375,257,88.375,66,36.5,9.956565069059941
5.5,27.0,1009.3708333333334,269,88.625,62,36.3,9.956565069059941
5.75,26.7,1010.0083333333332,248,68.875,94,35.4,9.956565069059941
5.75,27.1,1010.025,258,69.125,97,35.8,13.658126897506529
5.75,25.9,1010.0291666666668,234,69.375,97,34.9,13.619678755868849
5.75,26.5,1010.0125,222,69.625,91,33.6,13.832045921125196
5.75,26.9,1010.0083333333332,223,69.875,90,36.0,14.085964555606532
5.75,26.6,1009.9791666666666,232,70.125,78,36.2,14.37204592832079
5.75,26.5,1009.9958333333334,224,70.375,84,35.2,14.357092822139917
5.75,26.8,1009.9791666666666,234,70.625,92,35.6,14.360711924664416
5.75,26.2,1009.9875,227,70.875,97,34.3,14.39692808242462
5.75,26.1,1009.975,218,71.125,93,33.1,14.381003015111665
5.75,26.8,1009.975,215,71.375,100,35.0,14.355453197762955
5.75,26.3,1009.975,211,71.625,87,34.9,14.313806790400523
5.75,26.6,1009.9625,221,71.875,87,35.4,14.302460876898142
5.75,26.7,1009.9875,217,72.125,87,35.1,14.257902981822651
5.75,26.4,1009.9833333333332,221,72.375,97,34.1,14.227938243502791
5.75,25.9,1009.9958333333334,221,72.625,91,31.3,14.27374005583585
5.75,26.4,1009.9833333333332,215,72.875,100,34.2,14.351883940411131
5.75,26.6,1009.975,207,73.125,100,34.9,12.89801107992248
5.75,27.0,1009.9583333333334,218,73.375,98,35.6,9.886185914128102
5.75,27.2,1009.95,212,73.625,94,34.6,8.373668932920898
5.75,27.8,1009.9625,205,73.875,97,29.5,8.38930258565868
5.75,27.5,1009.9708333333332,225,74.125,91,28.6,8.4084169174485
5.75,27.2,1009.9625,212,74.375,100,29.0,8.41002223351962
5.75,28.1,1009.9458333333332,204,74.625,100,28.8,8.434807238501946
5.75,26.0,1009.9083333333332,206,74.875,98,29.5,8.396823218779312
5.75,27.9,1009.9166666666666,201,75.125,94,29.8,8.437227471503556
5.75,27.9,1009.8875,205,75.375,98,28.5,8.522746292326678
5.75,27.6,1009.875,225,75.625,97,28.1,10.03718226709857
5.75,27.4,1009.85,215,75.875,100,28.4,11.540544090591588
5.75,28.0,1009.825,208,76.125,100,29.0,11.542292653500912
5.75,26.0,1009.8,215,76.375,91,28.5,11.555671472080697
5.75,27.8,1009.7708333333334,204,76.625,100,28.8,12.97499874532442
5.75,27.5,1009.7541666666666,212,76.875,98,28.5,14.393781418411816
5.75,27.9,1009.75,226,77.125,95,28.2,14.374789085220865
5.75,27.5,1009.7166666666668,220,77.375,100,28.4,14.404754492091026
5.75,28.0,1009.7041666666668,215,77.625,100,28.8,14.458703019780833
5.75,28.0,1009.6666666666666,219,77.875,100,28.8,14.50012441578347
5.75,27.4,1009.6625,212,78.125,100,29.0,14.559905042778798
5.75,27.1,1009.6708333333332,217,78.375,100,28.6,14.603146557467738
5.75,27.8,1009.6625,228,78.625,100,28.4,14.655887881321355
5.75,27.2,1009.6458333333334,226,78.875,100,28.5,14.669421159477947
5.75,28.0,1009.65,219,79.125,100,28.9,14.697074524063453
5.75,28.0,1009.6541666666668,221,79.375,100,29.0,14.970996585251909
5.75,27.8,1009.6458333333334,215,79.625,93,29.2,15.234956764627412
5.75,27.2,1009.6375,219,79.875,100,28.8,15.331251899770391
5.75,27.8,1009.7541666666666,231,80.125,100,28.4,15.444128535979427
5.75,27.4,1009.7541666666666,231,80.375,100,28.5,15.4173948937394
5.75,28.0,1009.7541666666666,222,80.625,100,28.9,15.26449765044245
5.75,28.0,1009.5833333333334,222,80.875,100,29.4,15.211323849474793
5.75,27.8,1009.5833333333334,219,81.125,84,29.1,15.250929760923404
5.75,26.5,1009.4666666666668,222,81.375,99,28.9,15.318136789294982
5.75,27.6,1009.3791666666666,233,81.625,100,28.5,15.217479383487262
5.75,27.5,1009.3458333333332,235,81.875,100,28.8,15.078012859638456
5.75,28.0,1009.2958333333332,224,82.125,100,29.0,15.099029146560952
5.75,28.0,1009.2583333333332,223,82.375,97,29.4,15.410753074660503
5.75,28.0,1009.2125,222,82.625,93,29.1,15.676326686365408
5.75,26.5,1009.1958333333332,225,82.875,99,29.0,15.645483730927124
5.75,27.0,1009.1916666666666,236,83.125,100,28.6,15.656031587360452
5.75,27.8,1009.1708333333332,238,83.375,100,29.1,15.70413401415702
5.75,28.0,1009.1708333333332,224,83.625,100,29.0,15.75072255273412
5.75,28.1,1009.1416666666668,223,83.875,90,29.2,15.755833522385537
5.75,28.0,1009.15,223,84.125,91,29.1,15.72586658298044
5.75,26.4,1009.1708333333332,228,84.375,98,29.0,15.69578203288422
5.75,26.9,1009.175,240,84.625,100,29.0,15.700630667673792
5.75,27.8,1009.1666666666666,240,84.875,100,29.5,9.956565069059941
5.75,28.0,1009.1791666666668,222,85.125,100,29.0,9.956565069059941
5.75,28.1,1009.1958333333332,222,85.375,89,29.2,9.956565069059941
5.75,28.1,1009.2,224,85.625,92,29.2,9.956565069059941
5.75,25.9,1009.2125,230,85.875,98,29.0,9.956565069059941
5.75,26.9,1009.2166666666668,243,86.125,100,29.1,9.956565069059941
5.75,27.8,1009.2416666666668,242,86.375,100,29.5,9.956565069059941
5.75,28.0,1009.2375,222,86.625,100,29.1,9.956565069059941
5.75,28.0,1009.2666666666668,222,86.875,97,29.0,9.956565069059941
5.75,28.1,1009.3125,225,87.125,98,29.4,9.956565069059941
5.75,24.9,1009.325,233,87.375,100,29.0,9.956565069059941
5.75,26.9,1009.325,245,87.625,100,29.4,9.956565069059941
5.75,28.0,1009.3416666666668,242,87.875,100,29.5,9.956565069059941
5.75,28.0,1009.35,221,88.125,100,29.1,9.956565069059941
5.75,28.0,1009.325,222,88.375,98,29.0,9.956565069059941
5.75,28.1,1009.3541666666666,227,88.625,95,29.4,9.956565069059941
6.0,23.8,1010.0083333333332,239,68.875,100,29.0,9.956565069059941
6.0,26.4,1010.0,244,69.125,100,29.4,13.711584475642132
6.0,27.9,1010.0166666666668,239,69.375,100,29.4,14.167790825886478
6.0,28.1,1010.0,219,69.625,100,29.0,14.380157991142829
6.0,28.0,1009.9958333333334,219,69.875,100,29.5,14.348685971411175
6.0,28.2,1009.9916666666668,230,70.125,94,29.5,14.34937668991245
6.0,24.2,1009.9791666666666,242,70.375,100,29.0,14.382230146646648
6.0,26.5,1009.9625,241,70.625,100,29.5,14.399874095701485
6.0,27.8,1009.9666666666668,235,70.875,100,29.1,14.40230853707696
6.0,28.0,1009.9541666666668,218,71.125,100,29.0,14.395118228416688
6.0,28.0,1009.9625,217,71.375,100,29.2,14.378303169720668
6.0,28.1,1009.9666666666668,230,71.625,98,29.5,14.336656762358231
6.0,24.2,1009.9583333333334,244,71.875,100,28.9,14.270179006329382
6.0,26.0,1009.9666666666668,238,72.125,100,29.0,14.27342624958263
6.0,27.8,1009.9666666666668,232,72.375,100,29.0,14.34639849211798
6.0,28.1,1009.9708333333332,216,72.625,100,28.8,14.392200304451038
6.0,28.2,1009.9541666666668,215,72.875,100,29.0,14.410831686581806
6.0,28.0,1009.95,229,73.125,99,29.4,12.89744632364864
6.0,24.9,1009.95,246,73.375,100,28.9,9.852044215651546
6.0,26.1,1009.9416666666666,236,73.625,100,28.8,8.368369683802154
6.0,27.8,1009.9458333333332,230,73.875,100,28.9,8.446422728100472
6.0,28.1,1009.9333333333332,213,74.125,100,28.8,8.465537059890291
6.0,28.0,1009.9375,214,74.375,100,28.8,8.425712679171612
6.0,28.2,1009.9208333333332,228,74.625,100,29.4,8.364548970537776
6.0,25.2,1009.9125,249,74.875,100,28.8,8.282045933988783
6.0,26.0,1009.9083333333332,235,75.125,100,28.6,8.322450186713025
6.0,27.9,1009.8666666666668,229,75.375,100,28.9,8.485761728710504
6.0,28.1,1009.8375,211,75.625,100,28.6,8.560206398254754
6.0,28.1,1009.8125,213,75.875,100,28.8,8.545784195345774
6.0,28.0,1009.8,227,76.125,100,29.1,8.547532758255098
6.0,25.6,1009.7791666666668,250,76.375,100,28.6,8.565452086982726
6.0,25.9,1009.7375,233,76.625,100,28.6,9.989319870374292
6.0,28.0,1009.7291666666666,229,76.875,100,28.8,12.819136108429802
