temperature_2m_max,precipitation_probability_max,pressure_msl,longitude,latitude,wind_direction_10m_dominant,temperature_2m_min
29.5,43,1008.1083333333332,73.375,5.5,205,27.6
28.2,98,1008.0583333333334,73.625,5.5,117,27.7
29.0,98,1008.0,73.875,5.5,182,27.6
28.8,100,1007.9583333333334,74.125,5.5,214,27.7
28.6,95,1007.9291666666668,74.375,5.5,226,27.6
28.6,85,1007.875,74.625,5.5,205,27.6
29.3,40,1007.8333333333334,74.875,5.5,204,27.8
28.2,98,1007.7916666666666,75.125,5.5,119,27.6
28.6,98,1007.7416666666668,75.375,5.5,176,27.7
28.6,100,1007.6916666666666,75.625,5.5,207,27.8
28.6,95,1007.6458333333334,75.875,5.5,219,27.5
29.0,85,1007.5458333333332,76.125,5.5,200,27.6
29.2,40,1007.4791666666666,76.375,5.5,203,27.6
28.2,93,1007.4083333333332,76.625,5.5,120,27.7
28.5,98,1007.3833333333332,76.875,5.5,175,27.6
28.5,100,1007.3166666666666,77.125,5.5,202,27.6
28.6,95,1007.2541666666666,77.375,5.5,214,27.6
29.0,93,1007.2125,77.625,5.5,196,27.7
29.6,43,1007.1625,77.875,5.5,201,27.6
28.3,98,1007.0458333333332,78.125,5.5,121,27.9
28.4,100,1006.9583333333334,78.375,5.5,170,27.8
28.5,100,1006.825,78.625,5.5,191,27.6
28.0,98,1006.6041666666666,78.875,5.5,201,27.6
29.2,95,1006.4958333333334,79.125,5.5,190,27.8
29.5,50,1006.3,79.375,5.5,195,27.9
28.3,98,1006.1,79.625,5.5,122,27.9
28.5,100,1005.95,79.875,5.5,169,27.8
28.5,100,1005.6333333333332,80.125,5.5,187,27.7
28.0,98,1005.3458333333332,80.375,5.5,195,27.5
29.0,95,1005.1166666666668,80.625,5.5,187,27.8
29.8,50,1004.6625,80.875,5.5,193,28.0
28.3,98,1004.425,81.125,5.5,123,27.9
28.5,100,1004.0291666666668,81.375,5.5,167,27.8
28.6,100,1003.8708333333334,81.625,5.5,182,27.8
27.9,100,1003.6,81.875,5.5,191,27.5
29.0,85,1003.5125,82.125,5.5,183,27.5
29.6,55,1003.4958333333334,82.375,5.5,193,28.1
28.4,98,1003.425,82.625,5.5,123,27.9
28.4,98,1003.45,82.875,5.5,164,27.9
28.5,100,1003.5708333333332,83.125,5.5,175,27.8
28.0,100,1003.5333333333332,83.375,5.5,185,27.6
28.9,90,1003.5875,83.625,5.5,178,27.4
29.3,58,1003.7541666666666,83.875,5.5,192,28.0
28.4,98,1003.8041666666668,84.125,5.5,126,28.0
28.4,100,1003.8125,84.375,5.5,163,27.9
28.5,100,1004.0208333333334,84.625,5.5,171,27.8
28.0,100,1004.1416666666668,84.875,5.5,182,27.6
28.9,95,1004.2583333333332,85.125,5.5,174,27.5
29.6,50,1004.4,85.375,5.5,194,28.1
28.4,95,1004.6333333333332,85.625,5.5,125,28.0
28.5,98,1004.7916666666666,85.875,5.5,159,28.0
28.5,100,1004.9125,86.125,5.5,165,27.8
28.0,100,1005.1333333333332,86.375,5.5,175,27.6
28.9,93,1005.2583333333332,86.625,5.5,169,27.5
29.4,53,1005.3833333333332,86.875,5.5,189,28.1
28.4,88,1005.5458333333332,87.125,5.5,127,28.0
28.5,100,1005.75,87.375,5.5,157,28.0
28.5,100,1005.9125,87.625,5.5,162,27.9
28.1,100,1006.0333333333332,87.875,5.5,170,27.8
28.8,98,1006.2125,88.125,5.5,166,27.6
29.2,48,1006.3458333333332,88.375,5.5,188,28.2
28.3,85,1006.4333333333334,88.625,5.5,129,27.9
28.5,100,1008.9458333333332,68.875,5.75,155,27.8
28.5,100,1008.9125,69.125,5.75,159,28.0
28.1,100,1008.8791666666666,69.375,5.75,164,27.8
28.6,98,1008.825,69.625,5.75,160,27.6
29.4,45,1008.7833333333332,69.875,5.75,187,28.2
28.2,83,1008.7208333333332,70.125,5.75,127,27.9
28.5,98,1008.6375,70.375,5.75,150,27.9
28.5,100,1008.6083333333332,70.625,5.75,154,27.9
28.1,100,1008.525,70.875,5.75,157,27.7
28.4,93,1008.4708333333332,71.125,5.75,155,27.6
30.2,50,1008.425,71.375,5.75,178,28.1
28.2,85,1008.3583333333332,71.625,5.75,127,27.8
28.5,98,1008.3125,71.875,5.75,149,27.9
28.5,100,1008.2708333333334,72.125,5.75,152,28.0
28.2,100,1008.2541666666666,72.375,5.75,154,27.6
28.4,88,1008.1875,72.625,5.75,153,27.6
30.0,58,1008.1708333333332,72.875,5.75,174,28.0
28.3,78,1008.1375,73.125,5.75,127,27.9
28.5,98,1008.0583333333334,73.375,5.75,146,27.9
28.6,95,1008.0375,73.625,5.75,149,28.0
28.4,100,1007.9958333333334,73.875,5.75,151,27.6
28.5,90,1007.9375,74.125,5.75,151,27.6
29.1,65,1007.9125,74.375,5.75,166,27.6
28.3,78,1007.8541666666666,74.625,5.75,129,27.9
28.5,98,1007.7958333333332,74.875,5.75,145,27.9
28.6,95,1007.7708333333334,75.125,5.75,146,28.1
28.5,98,1007.6833333333334,75.375,5.75,150,27.8
28.7,90,1007.6416666666668,75.625,5.75,149,27.6
28.8,65,1007.5958333333332,75.875,5.75,157,27.4
28.2,73,1007.5208333333334,76.125,5.75,129,27.8
28.5,98,1007.45,76.375,5.75,143,27.8
28.7,93,1007.4208333333332,76.625,5.75,143,28.3
28.6,90,1007.3708333333334,76.875,5.75,146,27.9
28.7,80,1007.3041666666668,77.125,5.75,144,27.6
28.6,70,1007.2666666666668,77.375,5.75,150,27.2
29.1,13,1007.2083333333334,77.625,5.75,13,28.2
29.5,3,1007.1458333333334,77.875,5.75,5,28.5
29.8,18,1007.0333333333332,78.125,5.75,353,28.1
29.5,80,1006.9416666666666,78.375,5.75,343,27.4
29.0,15,1006.7625,78.625,5.75,339,27.8
29.0,5,1006.5916666666668,78.875,5.75,325,28.0
29.4,10,1006.4625,79.125,5.75,11,28.2
29.4,5,1006.2791666666668,79.375,5.75,3,28.5
29.9,28,1006.0458333333332,79.625,5.75,352,28.2
29.2,95,1005.8708333333334,79.875,5.75,343,27.4
29.0,13,1005.4833333333332,80.125,5.75,338,27.9
29.1,3,1005.075,80.375,5.75,324,28.0
29.3,10,1004.7541666666666,80.625,5.75,8,28.1
29.4,5,1004.1375,80.875,5.75,358,28.5
29.9,15,1003.8083333333334,81.125,5.75,353,28.6
29.2,85,1003.6041666666666,81.375,5.75,345,27.5
28.9,13,1003.3208333333332,81.625,5.75,336,28.0
29.1,3,1003.3166666666666,81.875,5.75,322,28.0
29.0,10,1003.2291666666666,82.125,5.75,6,28.1
29.2,5,1003.2291666666666,82.375,5.75,355,28.5
29.6,15,1003.2291666666666,82.625,5.75,351,28.9
29.3,85,1003.1583333333332,82.875,5.75,344,27.4
28.9,13,1003.1958333333332,83.125,5.75,334,28.0
29.4,3,1003.2041666666668,83.375,5.75,321,28.0
28.9,5,1003.3583333333332,83.625,5.75,4,28.1
29.4,5,1003.4333333333334,83.875,5.75,351,28.5
29.5,8,1003.5333333333332,84.125,5.75,349,29.0
29.5,80,1003.6291666666666,84.375,5.75,346,27.4
28.9,8,1003.8583333333332,84.625,5.75,332,28.1
29.4,5,1003.9833333333332,84.875,5.75,321,28.0
29.0,5,1004.1041666666666,85.125,5.75,1,28.0
29.6,3,1004.3166666666666,85.375,5.75,346,28.4
29.6,3,1004.45,85.625,5.75,347,28.8
29.2,80,1004.6416666666668,85.875,5.75,348,27.5
28.8,5,1004.7708333333334,86.125,5.75,329,28.0
29.1,5,1005.0,86.375,5.75,321,27.9
29.0,5,1005.1791666666668,86.625,5.75,358,28.0
29.8,3,1005.3083333333334,86.875,5.75,345,28.5
29.8,3,1005.5708333333332,87.125,5.75,343,28.8
29.3,80,1005.6708333333332,87.375,5.75,346,27.6
28.9,5,1005.7958333333332,87.625,5.75,326,28.0
29.0,5,1005.9625,87.875,5.75,319,27.9
29.1,8,1006.1541666666668,88.125,5.75,356,28.0
29.8,5,1006.3041666666668,88.375,5.75,345,28.6
30.0,8,1006.4083333333332,88.625,5.75,339,28.6
29.2,70,1008.9625,68.875,6.0,344,27.6
28.8,3,1008.9458333333332,69.125,6.0,325,28.0
29.0,5,1008.8958333333334,69.375,6.0,317,27.9
29.1,10,1008.8625,69.625,6.0,351,28.1
29.5,10,1008.8,69.875,6.0,346,28.7
29.8,8,1008.7166666666668,70.125,6.0,337,28.7
29.1,70,1008.6625,70.375,6.0,343,27.6
28.8,3,1008.6333333333332,70.625,6.0,324,28.2
28.8,5,1008.5416666666666,70.875,6.0,314,27.9
29.3,10,1008.4875,71.125,6.0,347,28.1
29.3,10,1008.45,71.375,6.0,347,28.3
29.4,8,1008.375,71.625,6.0,333,28.5
29.0,70,1008.3083333333334,71.875,6.0,339,27.5
28.8,3,1008.2833333333332,72.125,6.0,322,28.3
28.8,5,1008.2166666666668,72.375,6.0,310,28.0
29.5,15,1008.1916666666666,72.625,6.0,347,27.9
29.4,10,1008.1708333333332,72.875,6.0,346,28.1
29.4,5,1008.1083333333332,73.125,6.0,329,28.5
29.0,63,1008.075,73.375,6.0,337,27.5
28.9,0,1008.0625,73.625,6.0,321,28.3
28.8,8,1008.0,73.875,6.0,308,28.0
29.4,23,1007.9375,74.125,6.0,347,27.7
29.4,18,1007.9041666666668,74.375,6.0,343,28.3
29.4,5,1007.8416666666668,74.625,6.0,322,28.4
29.0,60,1007.7833333333332,74.875,6.0,336,27.5
29.0,5,1007.7625,75.125,6.0,319,28.3
28.7,8,1007.6875,75.375,6.0,306,28.0
29.1,23,1007.625,75.625,6.0,347,27.9
29.2,18,1007.575,75.875,6.0,342,28.5
29.1,5,1007.5208333333334,76.125,6.0,316,28.1
29.1,60,1007.4625,76.375,6.0,332,27.6
29.0,5,1007.4208333333332,76.625,6.0,317,28.4
28.7,8,1007.3375,76.875,6.0,304,28.0
29.1,28,1007.3,77.125,6.0,348,28.1
