temperature_2m_max,precipitation_probability_max,pressure_msl,longitude,latitude,wind_direction_10m_dominant,temperature_2m_min
27.7,0,1009.5583333333334,68.875,5.25,41,16.7
27.0,0,1009.4958333333334,69.125,5.25,49,18.8
27.2,0,1009.45,69.375,5.25,37,17.1
28.6,0,1009.4041666666668,69.625,5.25,33,16.1
27.8,3,1009.35,69.875,5.25,52,19.0
27.5,20,1009.2791666666668,70.125,5.25,52,21.1
28.4,0,1009.2458333333334,70.375,5.25,32,16.6
28.2,0,1009.1875,70.625,5.25,39,19.2
27.9,0,1009.1416666666668,70.875,5.25,30,16.7
29.2,0,1009.0791666666668,71.125,5.25,23,15.7
27.8,8,1009.0333333333332,71.375,5.25,43,20.1
28.0,18,1008.95,71.625,5.25,44,21.1
28.9,0,1008.8958333333334,71.875,5.25,35,17.2
28.6,0,1008.8416666666668,72.125,5.25,41,19.4
28.5,0,1008.725,72.375,5.25,30,17.1
29.6,0,1008.65,72.625,5.25,22,15.8
27.7,5,1008.5875,72.875,5.25,40,20.6
27.8,18,1008.475,73.125,5.25,44,21.3
29.1,0,1008.4041666666668,73.375,5.25,46,17.6
28.9,0,1008.3125,73.625,5.25,46,19.2
29.0,0,1008.2625,73.875,5.25,40,18.0
30.0,0,1008.1791666666668,74.125,5.25,32,17.5
27.9,18,1008.075,74.375,5.25,46,21.7
27.9,16,1008.025,74.625,5.25,45,21.9
29.1,0,1007.9625,74.875,5.25,45,19.1
29.4,0,1007.8416666666668,75.125,5.25,39,20.2
29.4,0,1007.8,75.375,5.25,39,18.8
30.4,3,1007.7458333333334,75.625,5.25,35,19.3
27.3,20,1007.6291666666666,75.875,5.25,44,22.2
27.3,18,1007.5958333333332,76.125,5.25,39,22.2
29.1,0,1007.5416666666666,76.375,5.25,47,19.1
29.9,0,1007.45,76.625,5.25,37,20.1
29.6,0,1007.4125,76.875,5.25,33,18.9
30.1,3,1007.3791666666666,77.125,5.25,30,19.2
26.6,15,1007.2958333333332,77.375,5.25,37,22.0
27.2,18,1007.2458333333334,77.625,5.25,34,22.2
28.9,0,1007.175,77.875,5.25,51,18.9
29.6,0,1007.1416666666668,78.125,5.25,41,20.1
29.7,0,1007.1041666666666,78.375,5.25,31,18.6
29.9,8,1007.0625,78.625,5.25,25,19.3
26.4,15,1007.0416666666666,78.875,5.25,29,21.5
27.0,18,1007.0166666666668,79.125,5.25,32,22.1
29.0,3,1006.975,79.375,5.25,55,18.9
29.0,0,1006.95,79.625,5.25,46,20.8
29.8,0,1006.9166666666666,79.875,5.25,28,19.2
30.0,8,1006.8791666666666,80.125,5.25,19,19.5
26.0,20,1006.8833333333332,80.375,5.25,21,22.0
27.1,25,1006.7916666666666,80.625,5.25,30,22.4
28.6,3,1006.7833333333332,80.875,5.25,28,19.4
28.5,3,1006.775,81.125,5.25,50,20.7
30.6,0,1006.7291666666666,81.375,5.25,12,18.6
29.7,18,1006.7291666666666,81.625,5.25,8,20.0
26.3,25,1006.7083333333334,81.875,5.25,7,22.0
26.4,31,1006.7041666666668,82.125,5.25,30,22.7
29.1,0,1006.7458333333334,82.375,5.25,70,19.3
28.8,0,1006.7708333333334,82.625,5.25,67,21.3
30.8,0,1006.7916666666666,82.875,5.25,53,17.9
28.9,10,1006.8583333333332,83.125,5.25,41,20.3
25.9,13,1006.8375,83.375,5.25,28,22.4
26.4,14,1006.8625,83.625,5.25,51,23.9
27.0,0,1006.9041666666668,83.875,5.25,69,18.2
26.2,3,1006.9958333333334,84.125,5.25,65,20.3
29.0,0,1007.05,84.375,5.25,46,17.7
26.6,30,1007.1,84.625,5.25,46,20.7
23.8,43,1007.2083333333334,84.875,5.25,46,22.2
23.6,54,1007.2875,85.125,5.25,66,22.1
26.4,0,1007.3416666666668,85.375,5.25,41,17.7
25.9,3,1007.4208333333332,85.625,5.25,52,19.8
28.3,0,1007.5125,85.875,5.25,30,18.4
26.2,30,1007.575,86.125,5.25,27,20.5
23.4,43,1007.65,86.375,5.25,33,22.2
23.1,54,1007.7458333333334,86.625,5.25,56,21.9
28.1,0,1007.775,86.875,5.25,27,22.2
29.1,3,1007.8375,87.125,5.25,35,21.1
30.5,0,1007.8708333333334,87.375,5.25,15,19.4
28.8,20,1007.975,87.625,5.25,8,22.6
25.3,55,1008.0083333333332,87.875,5.25,8,22.3
25.5,80,1008.05,88.125,5.25,32,23.7
28.0,0,1008.125,88.375,5.25,18,22.3
29.2,3,1008.15,88.625,5.25,30,21.4
30.5,0,1009.5416666666666,68.875,5.5,9,19.8
28.5,23,1009.5083333333332,69.125,5.5,358,23.0
25.3,58,1009.4333333333334,69.375,5.5,7,22.5
25.6,75,1009.3791666666666,69.625,5.5,36,23.6
28.7,0,1009.3333333333334,69.875,5.5,21,22.4
29.9,3,1009.2791666666668,70.125,5.5,31,21.8
31.0,0,1009.2333333333332,70.375,5.5,8,20.2
28.5,23,1009.1875,70.625,5.5,358,23.3
25.9,58,1009.1166666666668,70.875,5.5,15,23.5
25.9,75,1009.0541666666668,71.125,5.5,41,24.0
28.9,3,1009.0,71.375,5.5,23,22.5
29.8,0,1008.8958333333334,71.625,5.5,28,21.6
30.9,0,1008.825,71.875,5.5,13,20.1
29.1,48,1008.7541666666666,72.125,5.5,6,23.5
26.3,63,1008.6375,72.375,5.5,20,23.9
25.9,89,1008.5791666666668,72.625,5.5,39,24.0
29.7,3,1008.5166666666668,72.875,5.5,32,23.8
29.9,0,1008.4333333333334,73.125,5.5,36,23.1
30.5,0,1008.35,73.375,5.5,22,21.9
28.9,48,1008.2958333333332,73.625,5.5,17,24.6
26.7,75,1008.1916666666666,73.875,5.5,29,24.7
26.2,90,1008.1083333333332,74.125,5.5,45,24.6
30.0,3,1008.0583333333334,74.375,5.5,25,22.4
30.0,0,1007.9708333333332,74.625,5.5,29,21.2
30.8,0,1007.8791666666666,74.875,5.5,18,19.6
29.5,48,1007.8291666666668,75.125,5.5,15,23.6
26.8,75,1007.725,75.375,5.5,28,24.2
26.2,90,1007.6541666666668,75.625,5.5,42,24.1
28.5,3,1007.6041666666666,75.875,5.5,48,24.9
29.0,0,1007.5166666666668,76.125,5.5,58,24.9
29.1,0,1007.4666666666668,76.375,5.5,36,22.8
28.7,48,1007.4,76.625,5.5,37,25.5
26.6,75,1007.35,76.875,5.5,49,25.5
26.7,90,1007.3083333333334,77.125,5.5,74,25.8
28.5,5,1007.2416666666668,77.375,5.5,48,24.9
29.0,0,1007.1916666666666,77.625,5.5,58,24.9
29.1,25,1007.15,77.875,5.5,36,22.8
28.7,55,1007.0875,78.125,5.5,37,25.5
26.6,83,1007.0666666666666,78.375,5.5,49,25.5
26.7,92,1007.0083333333332,78.625,5.5,74,25.8
27.2,5,1006.9666666666668,78.875,5.5,49,26.1
27.2,0,1006.95,79.125,5.5,57,26.5
27.5,25,1006.9083333333332,79.375,5.5,41,25.6
27.5,55,1006.8958333333334,79.625,5.5,48,26.9
26.9,83,1006.8833333333332,79.875,5.5,58,26.2
26.8,92,1006.8583333333332,80.125,5.5,80,26.2
27.3,53,1006.825,80.375,5.5,50,26.3
27.4,0,1006.8125,80.625,5.5,53,26.3
27.6,28,1006.7708333333334,80.875,5.5,41,26.0
27.5,90,1006.7625,81.125,5.5,50,26.6
26.9,100,1006.6958333333332,81.375,5.5,62,26.1
26.9,98,1006.7,81.625,5.5,82,26.2
27.3,58,1006.6666666666666,81.875,5.5,51,26.4
27.2,0,1006.6583333333332,82.125,5.5,50,26.2
27.7,25,1006.6458333333334,82.375,5.5,43,26.2
27.4,90,1006.6375,82.625,5.5,51,26.6
26.9,100,1006.6666666666666,82.875,5.5,65,26.2
27.2,98,1006.7375,83.125,5.5,85,26.3
27.3,38,1006.7583333333332,83.375,5.5,51,26.4
27.2,3,1006.7875,83.625,5.5,49,26.4
27.6,50,1006.8791666666666,83.875,5.5,44,26.1
27.4,93,1006.9208333333332,84.125,5.5,52,26.6
27.0,100,1006.9333333333334,84.375,5.5,67,26.2
27.4,95,1007.0583333333334,84.625,5.5,85,26.4
27.5,45,1007.1375,84.875,5.5,53,26.2
27.2,3,1007.1916666666666,85.125,5.5,47,26.6
27.5,68,1007.2666666666668,85.375,5.5,45,26.8
27.0,98,1007.4,85.625,5.5,53,26.7
27.0,100,1007.4625,85.875,5.5,73,26.2
27.5,90,1007.5333333333332,86.125,5.5,92,26.5
27.6,50,1007.6416666666668,86.375,5.5,53,26.3
27.2,3,1007.6916666666666,86.625,5.5,47,26.6
27.5,70,1007.7125,86.875,5.5,46,26.9
27.0,100,1007.775,87.125,5.5,54,26.7
27.1,100,1007.875,87.375,5.5,77,26.4
