temperature_2m_max,precipitation_probability_max,pressure_msl,longitude,latitude,wind_direction_10m_dominant,temperature_2m_min
29.5,5,1008.5,68.875,5.25,346,28.0
29.3,10,1008.45,69.125,5.25,344,28.2
29.4,50,1008.4291666666668,69.375,5.25,356,28.2
29.3,3,1008.4041666666668,69.625,5.25,353,28.0
28.9,3,1008.3375,69.875,5.25,320,28.0
29.0,37,1008.3208333333332,70.125,5.25,321,27.9
29.5,8,1008.2666666666668,70.375,5.25,343,28.0
29.1,13,1008.225,70.625,5.25,341,28.1
29.4,45,1008.1833333333334,70.875,5.25,354,28.2
29.4,3,1008.1333333333332,71.125,5.25,350,28.0
29.0,5,1008.1083333333332,71.375,5.25,318,27.9
29.1,35,1008.0625,71.625,5.25,320,28.0
29.5,5,1008.0041666666666,71.875,5.25,342,28.0
29.2,18,1007.9625,72.125,5.25,343,28.0
29.2,35,1007.9416666666666,72.375,5.25,353,28.1
29.2,5,1007.8958333333334,72.625,5.25,346,27.9
29.1,3,1007.8666666666668,72.875,5.25,315,28.2
29.3,38,1007.8541666666666,73.125,5.25,320,28.1
29.4,5,1007.8291666666668,73.375,5.25,341,27.9
29.4,18,1007.775,73.625,5.25,343,27.9
29.4,35,1007.7541666666666,73.875,5.25,352,28.0
29.2,5,1007.6875,74.125,5.25,343,27.9
29.2,3,1007.6375,74.375,5.25,314,28.3
29.3,38,1007.6,74.625,5.25,319,28.2
29.5,10,1007.5666666666666,74.875,5.25,340,28.0
29.5,25,1007.4833333333332,75.125,5.25,343,27.9
29.4,35,1007.4375,75.375,5.25,352,28.0
29.4,3,1007.3958333333334,75.625,5.25,340,28.0
29.4,5,1007.3208333333332,75.875,5.25,313,28.4
29.4,46,1007.2916666666666,76.125,5.25,319,28.2
29.6,13,1007.2625,76.375,5.25,340,27.9
29.5,35,1007.175,76.625,5.25,348,27.9
29.4,33,1007.15,76.875,5.25,351,28.2
29.4,3,1007.1708333333332,77.125,5.25,332,28.0
29.5,8,1007.1916666666666,77.375,5.25,312,28.6
29.5,43,1007.2125,77.625,5.25,317,28.4
29.4,13,1007.1958333333332,77.875,5.25,339,27.8
29.4,35,1007.1625,78.125,5.25,350,27.6
29.4,33,1007.1166666666668,78.375,5.25,351,28.2
29.5,3,1006.9625,78.625,5.25,329,28.0
29.6,8,1006.8791666666666,78.875,5.25,312,28.7
29.5,43,1006.7916666666666,79.125,5.25,317,28.5
29.4,18,1006.65,79.375,5.25,339,28.0
29.4,40,1006.5333333333332,79.625,5.25,352,28.0
29.5,25,1006.2708333333334,79.875,5.25,351,28.3
29.5,5,1006.1625,80.125,5.25,326,28.0
29.6,10,1005.9875,80.375,5.25,313,28.8
29.6,43,1005.575,80.625,5.25,316,28.5
29.4,28,1005.375,80.875,5.25,341,27.9
29.4,40,1005.1958333333332,81.125,5.25,355,28.1
29.5,15,1004.8708333333334,81.375,5.25,350,28.4
29.4,8,1004.7458333333334,81.625,5.25,324,28.2
29.4,8,1004.575,81.875,5.25,314,29.0
29.4,53,1004.525,82.125,5.25,316,28.8
29.4,28,1004.55,82.375,5.25,340,27.9
29.4,40,1004.4916666666668,82.625,5.25,357,28.1
29.5,15,1004.4791666666666,82.875,5.25,347,28.4
29.4,8,1004.5458333333332,83.125,5.25,323,28.4
29.4,8,1004.4666666666668,83.375,5.25,313,29.0
29.4,53,1004.5041666666666,83.625,5.25,314,28.5
29.4,38,1004.5125,83.875,5.25,336,27.7
29.4,55,1004.65,84.125,5.25,359,27.9
29.5,23,1004.7291666666666,84.375,5.25,344,28.5
29.6,8,1004.7875,84.625,5.25,323,28.5
29.4,23,1004.9583333333334,84.875,5.25,313,28.6
29.4,53,1005.0583333333334,85.125,5.25,313,28.5
29.5,48,1005.1583333333332,85.375,5.25,335,27.8
29.3,68,1005.2666666666668,85.625,5.25,5,27.7
29.5,30,1005.4458333333332,85.875,5.25,341,28.8
29.7,23,1005.5833333333334,86.125,5.25,321,28.5
29.6,30,1005.725,86.375,5.25,311,28.6
29.5,58,1005.9375,86.625,5.25,312,28.5
29.4,48,1006.0625,86.875,5.25,357,27.9
29.1,68,1006.2125,87.125,5.25,23,27.7
29.5,30,1006.3166666666666,87.375,5.25,339,28.5
29.6,23,1006.5458333333332,87.625,5.25,317,28.4
29.6,30,1006.6291666666666,87.875,5.25,310,28.7
29.5,58,1006.7416666666668,88.125,5.25,309,28.5
30.7,38,1006.9333333333334,88.375,5.25,65,23.5
32.1,25,1007.0208333333334,88.625,5.25,57,24.1
34.8,3,1008.5083333333332,68.875,5.5,333,22.6
33.1,5,1008.4833333333332,69.125,5.5,306,24.4
33.2,20,1008.4416666666666,69.375,5.5,306,23.6
30.9,68,1008.3875,69.625,5.5,298,27.6
31.3,38,1008.3541666666666,69.875,5.5,51,23.6
33.3,25,1008.3125,70.125,5.5,40,24.8
35.8,3,1008.275,70.375,5.5,337,23.4
33.6,5,1008.2375,70.625,5.5,309,25.1
33.3,20,1008.2041666666668,70.875,5.5,303,23.6
31.6,68,1008.1583333333332,71.125,5.5,290,27.4
31.6,38,1008.1208333333334,71.375,5.5,77,23.6
33.2,25,1008.075,71.625,5.5,34,24.3
35.1,3,1008.0083333333332,71.875,5.5,326,23.1
32.7,5,1007.9833333333332,72.125,5.5,315,24.5
32.6,20,1007.9458333333332,72.375,5.5,296,23.0
30.3,68,1007.9,72.625,5.5,269,25.5
31.0,33,1007.8916666666668,72.875,5.5,81,23.0
31.8,23,1007.8791666666666,73.125,5.5,75,24.0
35.6,0,1007.8291666666668,73.375,5.5,75,21.4
34.1,5,1007.8,73.625,5.5,73,21.9
34.3,30,1007.7625,73.875,5.5,239,21.8
30.4,73,1007.6916666666666,74.125,5.5,227,25.0
25.6,48,1007.675,74.375,5.5,101,22.6
28.0,23,1007.6083333333332,74.625,5.5,110,23.1
30.4,8,1007.55,74.875,5.5,101,21.3
30.1,10,1007.4916666666668,75.125,5.5,116,20.6
32.6,68,1007.4375,75.375,5.5,264,22.3
