temperature_2m_max,precipitation_probability_max,pressure_msl,longitude,latitude,wind_direction_10m_dominant,temperature_2m_min
28.4,100,1009.0083333333332,68.875,5.25,99,27.6
27.9,98,1008.9333333333334,69.125,5.25,130,27.4
28.1,75,1008.9041666666668,69.375,5.25,137,27.2
28.4,98,1008.8458333333332,69.625,5.25,65,26.5
28.0,100,1008.7791666666668,69.875,5.25,61,26.9
28.5,100,1008.7,70.125,5.25,91,27.6
28.5,100,1008.6625,70.375,5.25,102,27.6
28.0,98,1008.5708333333332,70.625,5.25,131,27.5
28.0,75,1008.5041666666666,70.875,5.25,135,27.0
28.5,98,1008.4416666666666,71.125,5.25,65,26.5
28.0,100,1008.4125,71.375,5.25,63,26.9
28.4,100,1008.3416666666668,71.625,5.25,93,27.6
28.5,98,1008.3,71.875,5.25,103,27.9
28.3,95,1008.2708333333334,72.125,5.25,130,27.4
28.0,78,1008.2083333333334,72.375,5.25,132,27.1
28.5,98,1008.15,72.625,5.25,67,26.9
28.0,100,1008.0958333333332,72.875,5.25,66,27.0
28.5,100,1008.0333333333332,73.125,5.25,97,27.6
28.6,95,1007.9958333333334,73.375,5.25,104,28.0
28.3,95,1007.9541666666668,73.625,5.25,131,27.1
28.0,80,1007.9166666666666,73.875,5.25,130,27.2
28.5,98,1007.8791666666666,74.125,5.25,69,27.0
28.0,100,1007.8125,74.375,5.25,69,27.0
28.5,100,1007.7875,74.625,5.25,102,27.8
28.7,95,1007.7541666666666,74.875,5.25,106,28.0
28.2,95,1007.6958333333332,75.125,5.25,134,27.1
27.9,70,1007.65,75.375,5.25,130,27.0
28.5,98,1007.6041666666666,75.625,5.25,69,27.0
28.1,100,1007.5416666666666,75.875,5.25,71,27.0
28.5,100,1007.4916666666668,76.125,5.25,104,27.8
28.7,95,1007.4666666666668,76.375,5.25,107,28.0
28.0,98,1007.375,76.625,5.25,134,27.5
27.9,78,1007.3291666666668,76.875,5.25,130,27.2
28.5,95,1007.2875,77.125,5.25,69,26.9
28.1,100,1007.2125,77.375,5.25,73,26.9
28.5,100,1007.1875,77.625,5.25,106,27.9
28.6,93,1007.1333333333332,77.875,5.25,109,28.0
28.2,95,1007.0875,78.125,5.25,133,27.5
27.9,78,1007.0416666666666,78.375,5.25,130,27.4
28.5,98,1006.9875,78.625,5.25,69,26.9
28.2,100,1006.9208333333332,78.875,5.25,76,26.8
28.6,100,1006.8875,79.125,5.25,108,27.9
28.8,90,1006.8125,79.375,5.25,110,28.0
28.3,95,1006.7583333333332,79.625,5.25,132,27.6
27.9,80,1006.6416666666668,79.875,5.25,129,27.5
28.6,98,1006.5791666666668,80.125,5.25,69,26.8
28.1,100,1006.5041666666666,80.375,5.25,78,26.6
28.8,100,1006.3125,80.625,5.25,109,27.9
28.8,90,1006.2333333333332,80.875,5.25,110,28.1
28.3,95,1006.1583333333332,81.125,5.25,131,27.6
27.9,80,1006.0125,81.375,5.25,128,27.5
28.6,98,1005.9541666666668,81.625,5.25,69,26.7
28.1,100,1005.8125,81.875,5.25,78,26.5
28.9,100,1005.7833333333332,82.125,5.25,109,27.9
28.7,83,1005.7958333333332,82.375,5.25,110,28.1
28.2,90,1005.7625,82.625,5.25,130,27.6
28.0,75,1005.7625,82.875,5.25,127,27.5
28.6,98,1005.8083333333334,83.125,5.25,68,26.7
28.0,98,1005.7416666666668,83.375,5.25,80,26.4
29.0,100,1005.7708333333334,83.625,5.25,110,27.9
28.8,83,1005.7833333333332,83.875,5.25,111,28.1
28.2,88,1005.8791666666666,84.125,5.25,129,27.8
28.0,75,1005.9333333333334,84.375,5.25,126,27.5
28.8,98,1005.9958333333334,84.625,5.25,69,26.9
28.1,98,1006.1166666666668,84.875,5.25,84,26.5
29.0,100,1006.1916666666666,85.125,5.25,112,28.0
28.8,83,1006.2375,85.375,5.25,111,28.2
28.2,88,1006.3083333333334,85.625,5.25,128,27.8
27.9,75,1006.4375,85.875,5.25,125,27.5
28.8,100,1006.5416666666666,86.125,5.25,70,27.1
28.2,98,1006.6666666666666,86.375,5.25,85,26.5
29.0,100,1006.8583333333332,86.625,5.25,113,28.0
28.8,80,1006.9583333333334,86.875,5.25,112,28.2
28.2,88,1007.0958333333332,87.125,5.25,127,27.8
27.9,70,1007.2125,87.375,5.25,124,27.5
28.8,100,1007.425,87.625,5.25,71,27.0
28.2,98,1007.5083333333332,87.875,5.25,87,26.4
29.0,100,1007.5708333333332,88.125,5.25,113,28.1
28.8,80,1007.7333333333332,88.375,5.25,112,28.2
28.3,93,1007.8,88.625,5.25,126,27.8
28.1,80,1009.0,68.875,5.5,123,27.5
28.8,98,1008.9666666666668,69.125,5.5,71,27.1
28.2,100,1008.9083333333332,69.375,5.5,88,26.3
29.1,98,1008.8291666666668,69.625,5.5,113,28.1
28.7,80,1008.7833333333332,69.875,5.5,112,28.2
