temperature_2m_max,precipitation_probability_max,pressure_msl,longitude,latitude,wind_direction_10m_dominant,temperature_2m_min
28.2,90,1008.7583333333332,68.875,5.25,87,26.8
28.1,63,1008.6833333333334,69.125,5.25,86,27.1
27.6,40,1008.6458333333334,69.375,5.25,73,26.6
26.6,0,1008.6041666666666,69.625,5.25,31,25.9
26.7,3,1008.55,69.875,5.25,37,26.0
27.5,98,1008.475,70.125,5.25,73,26.3
28.1,88,1008.4375,70.375,5.25,86,26.5
28.2,55,1008.4041666666668,70.625,5.25,85,27.1
27.5,36,1008.3458333333332,70.875,5.25,71,26.7
26.6,0,1008.3041666666668,71.125,5.25,31,25.9
26.8,0,1008.275,71.375,5.25,37,25.9
27.3,98,1008.2208333333332,71.625,5.25,74,26.2
28.1,73,1008.1666666666666,71.875,5.25,85,26.5
28.3,43,1008.1333333333332,72.125,5.25,87,27.1
27.5,28,1008.0666666666666,72.375,5.25,71,26.7
28.2,0,1008.0083333333332,72.625,5.25,47,27.0
28.2,0,1007.9875,72.875,5.25,55,27.9
28.4,0,1007.9125,73.125,5.25,55,27.5
28.2,0,1007.8708333333334,73.375,5.25,49,27.6
27.9,0,1007.7875,73.625,5.25,31,26.9
27.3,0,1007.7625,73.875,5.25,25,26.7
28.2,0,1007.7083333333334,74.125,5.25,47,27.0
28.2,0,1007.625,74.375,5.25,54,27.8
28.4,0,1007.5833333333334,74.625,5.25,55,27.6
28.1,0,1007.55,74.875,5.25,48,27.6
27.9,0,1007.475,75.125,5.25,31,27.1
27.2,0,1007.4333333333334,75.375,5.25,26,26.6
28.4,0,1007.3875,75.625,5.25,46,26.9
28.4,0,1007.2916666666666,75.875,5.25,53,27.8
28.4,0,1007.25,76.125,5.25,53,27.5
28.2,0,1007.2208333333332,76.375,5.25,45,27.7
28.1,0,1007.1291666666666,76.625,5.25,33,26.9
27.1,0,1007.0958333333332,76.875,5.25,25,26.6
28.3,0,1007.075,77.125,5.25,45,26.8
28.5,0,1007.0125,77.375,5.25,53,27.7
28.4,0,1006.975,77.625,5.25,53,27.5
28.2,0,1006.9166666666666,77.875,5.25,44,27.6
28.1,0,1006.8958333333334,78.125,5.25,33,26.8
27.2,0,1006.8791666666666,78.375,5.25,25,26.6
28.3,0,1006.825,78.625,5.25,45,26.9
28.5,0,1006.8333333333334,78.875,5.25,52,27.7
28.5,0,1006.8166666666666,79.125,5.25,52,27.5
28.1,0,1006.7833333333332,79.375,5.25,42,27.6
28.1,0,1006.7708333333334,79.625,5.25,33,26.5
27.4,0,1006.7375,79.875,5.25,26,26.6
28.4,0,1006.7166666666668,80.125,5.25,44,27.0
28.7,0,1006.7041666666668,80.375,5.25,51,27.8
28.5,0,1006.6666666666666,80.625,5.25,50,27.6
28.1,0,1006.6333333333332,80.875,5.25,40,27.5
27.9,0,1006.6125,81.125,5.25,32,26.4
27.4,0,1006.5875,81.375,5.25,25,26.6
28.4,0,1006.5875,81.625,5.25,43,27.1
28.5,0,1006.5708333333332,81.875,5.25,49,27.8
28.5,0,1006.5875,82.125,5.25,48,27.7
28.0,0,1006.6333333333332,82.375,5.25,38,27.4
27.8,0,1006.625,82.625,5.25,31,26.5
27.2,0,1006.6458333333334,82.875,5.25,26,26.6
28.3,0,1006.6833333333334,83.125,5.25,42,27.2
28.5,0,1006.65,83.375,5.25,48,27.7
28.3,0,1006.6625,83.625,5.25,47,27.6
28.0,0,1006.6958333333332,83.875,5.25,37,27.1
27.8,0,1006.75,84.125,5.25,30,26.6
27.1,0,1006.8166666666666,84.375,5.25,25,26.6
28.2,0,1006.8375,84.625,5.25,41,27.2
28.5,0,1006.9416666666666,84.875,5.25,47,27.8
28.4,0,1006.9791666666666,85.125,5.25,45,27.5
28.1,0,1007.0166666666668,85.375,5.25,34,27.0
27.9,0,1007.0541666666668,85.625,5.25,28,26.6
27.5,0,1007.1125,85.875,5.25,24,26.6
28.1,0,1007.1666666666666,86.125,5.25,40,27.1
28.5,0,1007.2166666666668,86.375,5.25,46,27.8
28.3,0,1007.2666666666668,86.625,5.25,44,27.6
28.1,0,1007.3083333333334,86.875,5.25,33,27.0
27.8,0,1007.3625,87.125,5.25,27,26.8
27.5,0,1007.4083333333332,87.375,5.25,23,26.8
28.2,0,1007.4541666666668,87.625,5.25,39,27.0
28.5,0,1007.4625,87.875,5.25,45,27.8
28.4,0,1007.4958333333334,88.125,5.25,42,27.6
28.2,0,1007.5208333333334,88.375,5.25,31,27.0
27.8,0,1007.5833333333334,88.625,5.25,26,26.9
27.6,0,1008.75,68.875,5.5,22,26.9
28.3,0,1008.7,69.125,5.5,37,27.2
28.5,0,1008.6333333333332,69.375,5.5,44,28.0
28.4,0,1008.575,69.625,5.5,40,27.8
28.3,0,1008.5333333333332,69.875,5.5,31,27.1
27.9,0,1008.4708333333332,70.125,5.5,24,27.0
27.9,0,1008.4166666666666,70.375,5.5,19,27.0
28.2,0,1008.3791666666666,70.625,5.5,36,27.4
28.5,0,1008.325,70.875,5.5,42,27.9
28.4,0,1008.275,71.125,5.5,36,27.9
28.5,0,1008.2375,71.375,5.5,32,27.2
28.1,0,1008.1708333333332,71.625,5.5,24,27.0
27.9,0,1008.1333333333332,71.875,5.5,17,27.0
28.1,0,1008.0916666666668,72.125,5.5,34,27.4
28.5,0,1008.0,72.375,5.5,39,27.8
28.2,0,1007.95,72.625,5.5,33,27.7
28.3,0,1007.9041666666668,72.875,5.5,31,27.2
28.0,0,1007.8416666666668,73.125,5.5,24,26.9
27.9,0,1007.7833333333332,73.375,5.5,14,27.0
28.2,0,1007.7458333333334,73.625,5.5,29,27.1
28.4,0,1007.6666666666666,73.875,5.5,30,27.5
28.2,0,1007.6375,74.125,5.5,25,27.4
28.4,0,1007.5958333333332,74.375,5.5,25,26.8
